SAN JOSE BUILDING ID,STREET,CITY,STATE,ZIP CODE,ASSESSOR PARCEL NUMBER,YEAR BUILT,PRIMARY PROPERTY TYPE,ASSESSOR GROSS FLOOR AREA (ft^2),REPORTED GROSS FLOOR AREA (ft^2),ANNUAL REPORTING YEAR,ANNUAL BENCHMARKING STATUS,ENERGY STAR SCORE,WEATHER NORMALIZED SITE ENERGY USE INTENSITY (kBTU/ft^2),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (kBTU/ft^2),SITE ENERGY USE INTENSITY (kBTU/ft^2),SOURCE ENERGY USE INTENSITY (kBTU/ft^2),TOTAL ELECTRICITY USE (kWh),TOTAL NATURAL GAS USE (therms),INDIRECT GREENHOUSE GAS EMISSIONS (metric tons of CO2e),DIRECT GREENHOUSE GAS EMISSIONS (metric tons of CO2e),TOTAL GREENHOUSE GAS EMISSIONS (metric tons of CO2e),MUNICIPALLY SUPPLIED WATER INDOOR USE (kgal),MUNICIPALLY SUPPLIED WATER MIXED USE (kgal),MUNICIPALLY SUPPLIED WATER OUTDOOR USE (kgal),RECYCLED WATER INDOOR USE (kgal),RECYCLED WATER MIXED USE (kgal),RECYCLED WATER OUTDOOR USE (kgal),WELL WATER INDOOR USE (kgal),WELL WATER MIXED USE (kgal),WELL WATER OUTDOOR USE (kgal),OTHER WATER INDOOR USE (kgal),OTHER WATER MIXED USE (kgal),OTHER WATER OUTDOOR USE (kgal),TOTAL WATER USE (kgal),WATER USE INTENSITY (gal/ft^2),US EPA WATER SCORE
0011-0-00,4425 fortran dr,san jose,CA,95134,1530102,1986,office,76297,76319,2022,in compliance,95,39.5,52.8,39.5,52.8,145020.4,25197.23634,,133.8,,173.1,,1112.3,,,,,,,,,,1285.4,16.84,
0012-0-00,4415 fortran dr,san jose,CA,95134,1530103,1986,worship facility,76567,76567,2022,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0013-0-00,4413 fortran dr,san jose,CA,95134,1530104,1986,worship facility,66368,66000,2022,in compliance,88,6.1,15.6,6.1,15.6,100963.4,591.4800072,,3.1,,200.2,,,,,,,,,,,,200.2,3.03,
0013-1-00,110 baytech dr,san jose,CA,95134,1530107,1997,office,55976,57976,2022,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0013-2-00,120 baytech dr,san jose,CA,95134,1530108,1997,,132265,,2022,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0014-0-00,2160 gold st,alviso,CA,95002,1534081,1999,office,127124,127124,2022,in compliance,2,195.6,493.5,198.3,496.4,3037946,21203.03062,,112.6,,,,1975.9,,,,,,,,,,2115.7,33.61,
0015-0-00,2099 gold st,alviso,CA,95002,1534100,2001,office,22302,22000,2022,in compliance,49,40.9,85.1,42.2,85.1,150506.3,4144.391874,,22,,94,,897.5,,,,,,,,,,991.5,45.07,
0016-0-00,2131 gold st,alviso,CA,95002,1534101,2001,hotel,44316,54439,2022,in compliance,98,25.2,53.6,24.8,52.5,241165,5285,56.4,28.1,84.5,1618,,,,,,,,,,,,1618,29.72,
0017-0-00,2100 gold st,alviso,CA,95002,1534120,1999,office,70755,71169,2022,in compliance,86,33.4,72.3,35.5,74.5,443802,10147.69706,,53.9,,,,1157.1,,,,,,,,,,954697.6,13414.52,
0018-0-00,2130 gold st,alviso,CA,95002,1534121,1999,office,52153,52142,2022,in compliance,100,6.6,16.6,6.6,16.6,83683.1,605.5001009,,3.2,,,,810.5,,,,,,,,,,856.1,16.42,
0019-0-00,2150 gold st,alviso,CA,95002,1534123,1999,office,52153,52214,2022,in compliance,91,30.2,61.3,30.2,61.3,258197.1,6980.957177,,37.1,,,,811.6,,,,,,,,,,880.1,16.85,
0020-0-00,2077 gold st,alviso,CA,95002,1534125,2007,financial office,24446,25000,2022,in compliance,80,88.4,146.8,88.4,146.8,226285.2,14374.82777,,76.4,,0.2,,,,,5.3,,,,,,,5.5,0.22,
0021-0-00,110 nortech pkwy,san jose,CA,95134,1539033,1984,office,50772,52040,2022,in compliance,,4.5,12.7,4.5,12.7,69099.8,3.4000002,,0,,,,,,,,,,,,,,551.7,10.6,
0022-0-00,4300 n 1st st,san jose,CA,95134,1539044,2001,office,188332,188000,2022,pending revisions,99,16.4,45.8,16.4,45.8,901082.2,0,,0,,,,,,,,,,,,,,5936.9,31.58,
0023-0-00,4400 n 1st st,san jose,CA,95134,1539045,2001,office,188332,188000,2022,in compliance,,5.7,16,5.7,16,315083.5,,,0,,,,5.8,,,,,,,,,,5.8,0.03,
0025-0-00,4453 n 1st st,san jose,CA,95134,1539057,2018,office,184351,187660,2022,in compliance,100,122.2,81.4,102.7,26.6,-2551240,279738.8809,,1485.8,,,,,,,,,,,,,,1971.2,10.5,
0026-0-00,4353 n 1st st,san jose,CA,95134,1539058,2016,office,184351,182717,2022,in compliance,88,39.5,110.1,39.5,110.1,2079548,621.6700591,,3.3,,,,,,,7224.4,,,,,,,7562.7,41.77,
0027-0-00,5093 disk dr,san jose,CA,95134,1544021,1990,other,168011,200405,2022,in compliance,72,14,30.9,14.6,31.5,898117.2,17985.76994,,95.5,,,,,,,,,,,,,,145.7,0.44,
0028-0-00,5087 disk dr,san jose,CA,95134,1544026,1990,refrigerated warehouse,395200,178712,2022,in compliance,91,8.1,16.3,8.1,16.3,416659.9,11920.34001,,63.3,,,,,,,,,,,,,,72,0.22,
0029-0-00,5079 disk dr,san jose,CA,95134,1544026,2017,non-refrigerated warehouse,395200,259086,2022,pending revisions,,,,,,,,,0,,,,,,,0,,,,,,,1.6,0.01,
0029-1-00,4550 n 1st st,san jose,CA,95134,1544027,2018,office,332000,83051,2022,in compliance,,2.1,5.8,2.1,5.8,50006.2,,,0,,0,,,,,3334.3,,,,,,,3334.3,40.15,
0030-0-00,4500 n 1st st,san jose,CA,95134,1544028,2016,,83000,,2022,exempt,,,,,,,,,,,,,,,,,,,,,,,,,
0030-1-00,656 america center ct,alviso,CA,95002,1545013,2019,hotel,166340,166340,2022,in compliance,96,48.5,94.2,48.3,94,1354883.7,34151.62011,,181.4,,,,,,,,,,,,,,4311.2,25.92,
0031-0-00,510 america center court,san jose,CA,95002,1545048,2021,hotel,82360,92684,2022,in compliance,70,46.3,95.9,45.6,93.8,713651,17880.50355,,95,,,,,,,,,,,,,,5790.7,62.48,
0032-0-00,6001 america center dr,alviso,CA,95002,1545049,2009,office,212863,212863,2022,in compliance,84,47.6,120.5,47.6,120.5,2512409,15601.56684,,82.9,,79.6,,3002.1,,,,,,,,,,3081.7,14.48,
0033-0-00,6220 america center drive,san jose,CA,95002,1545051,2017,office,215834,220761,2022,in compliance,96,30.9,66.8,30.1,64.5,1217862,24857.87427,,132,,439.7,,1128.6,,,,,,,,,,1568.3,7.1,
0034-0-00,6280 america center dr,alviso,CA,95002,1545052,2017,office,481246,220761,2022,in compliance,77,68.7,150.7,68.7,150.7,2903648,52677.59759,,279.8,,646.5,,2279.5,,,,,,,,,,2926,13.25,
0035-0-00,6201 america center dr,alviso,CA,95002,1545053,2009,office,213800,209212,2022,in compliance,85,49.2,97.1,49.2,97.1,1590341,48690.45002,,258.6,,615.3,,3002.1,,,,,,,,,,3617.5,17.29,
0037-0-00,1900-1902 lakewood dr,san jose,CA,95132,9201016,1975,multifamily housing,140800,113629,2022,in compliance,97,30.3,53.3,31.5,54.6,409365.2,21881.59101,,116.2,,,,,,,,,,,,,,9317,81.99,22
0038-0-00,1953 via reggio ct,san jose,CA,95132,9201018,1988,multifamily housing,37530,39290,2022,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0039-0-00,2155 morrill ave,san jose,CA,95132,9209010,1990,retail store,108268,108268,2022,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0040-0-00,2115 morrill ave,san jose,CA,95132,9209011,1972,retail store,24340,24340,2022,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0041-0-00,2105 morrill ave,san jose,CA,95132,9209012,2000,retail store,20317,20317,2022,in compliance,83,51,121.5,52.4,121.6,220801.1,2827.199969,,15,,83.3,,,,,,,,,,,,83.3,4.21,
0044-0-00,100 headquarters dr,san jose,CA,95134,9703127,1999,office,46070,46070,2022,exempt,,,,,,,,,,,,,,,,,,,,,,,,,
0045-0-00,450 holger way,san jose,CA,95134,9703129,1999,other,93210,98432,2022,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0046-0-00,400 holger way,san jose,CA,95134,9703130,2005,data center,76410,76410,2022,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0047-0-00,350 holger way,san jose,CA,95134,9703131,1999,office,96710,96502,2022,in compliance,59,59.6,166.9,59.6,166.9,1685734,,,0,,,,,,,,,,,,,,62.4,0.65,
0048-0-00,300 holger way,san jose,CA,95134,9703132,1999,office,99870,101194,2022,in compliance,,3.1,7.7,3.1,7.7,74852.5,609.10337,,3.2,,2.2,,,,,735,,,,,,,737.2,7.29,
0049-0-00,250 holger way,san jose,CA,95134,9703133,1999,office,76410,77209,2022,in compliance,49,63.5,109.1,62.4,106,522932.4,30367.12968,,161.3,,887.1,,,,,665.1,,,,,,,1552.2,20.1,
0050-0-00,200 holger way,san jose,CA,95134,9703134,2001,office,96640,96640,2022,exempt,,,,,,,,,,,,,,,,,,,,,,,,,
0051-0-00,3103 n 1st st,san jose,CA,95134,9706047,1995,office,97912,94328,2022,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0055-0-00,251 brandon st,san jose,CA,95134,9706057,2015,multifamily housing,233014,289052,2022,in compliance,97,30.5,56.5,31,57,1186673,49000.5992,,260.3,,7865,,7585.1,,,,,,,,,,15450.2,53.45,21
0056-0-00,3101 n 1st st,san jose,CA,95134,9706060,1995,office,95030,94328,2022,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0057-0-00,3477 lily way,san jose,CA,95134,9706061,2014,multifamily housing,122007,153782,2022,in compliance,81,53.1,85.3,54.4,86,744836.3,58214.3368,,309.2,,,,,,,,,,,,,,5121.5,33.3,62
0058-0-00,250 brandon st,san jose,CA,95134,9706062,2014,multifamily housing,182414,236048,2022,in compliance,77,52.5,86.7,54,87.7,1226826,85559.8375,,454.4,,,,,,,,,,,,,,11659.9,49.4,24
0059-0-00,55 river oaks pl,san jose,CA,95134,9706063,2015,multifamily housing,302570,415641,2022,in compliance,80,48,81.7,48.9,82.2,2148523,129976.461,,690.4,,,,,,,2190.5,,,,,,,10840.9,26.08,72
0060-0-00,52 skytop st,san jose,CA,95134-2186,9706066,2016,multifamily housing,261309,346621,2022,in compliance,94,41,66.7,42.6,68.4,1374134,100764.6298,,535.2,,,,,,,,,,,,,,11444.3,33.02,55
0061-0-00,3473 n 1st st,san jose,CA,95134-1801,9706067,2015,multifamily housing,257196,319309,2022,in compliance,96,41.3,68.8,42.6,69.5,1328299,90603.1877,,481.2,,,,,,,,,,,,,,12866.5,40.29,45
0062-0-00,191 baypointe pkwy,san jose,CA,95134,9707030,1986,college/university,45848,45800,2022,in compliance,,14.3,38.6,14.3,38.6,180792.9,378.7923509,,2,,98.4,,25.4,,,,,,,,,,123.7,2.7,
0063-0-00,90 e tasman dr,san jose,CA,95134,9707038,1984,medical office,96154,96154,2022,in compliance,99,46.2,71.7,48.7,74.3,674111.5,23824.26157,,126.5,,850.5,,850.5,,,,,,,,,,2094.5,21.78,
0064-0-00,3550 n 1st st,san jose,CA,95134,9707040,2000,other - technology/science,76690,76690,2022,in compliance,,16.7,46.7,16.7,46.7,374470.7,10,87.6,0.1,87.6,78.4,,3350.7,,,,,,,,,,3429.2,44.71,
0065-0-00,210 baypointe pkwy,san jose,CA,95134,9707046,1985,,67984,,2022,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0066-0-00,3590 n 1st st,san jose,CA,95134,9707061,1989,office,85006,84035,2022,in compliance,93,59.6,126.4,61.2,128,897636.5,20762.51341,,110.3,,452.2,,3605.6,,,,,,,,,,4057.9,48.29,
0067-0-00,160 e tasman dr,san jose,CA,95134,9707065,1990,office,110000,109243,2022,in compliance,79,54.1,115.8,53.4,113.8,1056431,22279.84975,,118.3,,502877.1,,1752.5,,,,,,,,,,504629.6,4619.33,
0068-0-00,91 e tasman dr,san jose,CA,95134,9707066,1985,office,83632,84049,2022,in compliance,87,22.3,62.3,22.3,62.3,548355,,,0,,,,,,,,,,,,,,954,11.35,
0069-0-00,121 e tasman dr,san jose,CA,95134,9707072,2000,multifamily housing,164065,270689,2022,in compliance,10,52.6,109,52.9,109.4,1624966,40003.57017,,212.5,,,,,,,,,,,,,,7337.6,40.7,53
0071-0-00,25 rio robles e,san jose,CA,95134,9707075,2003,multifamily housing,135806,168399,2022,in compliance,65,41.8,71.8,42,70.6,747833.2,45208.28204,,240.1,,,,,,,1763,,,,,,,8392.5,49.84,28
0072-0-00,65 rio robles e,san jose,CA,95134,9707076,2003,multifamily housing,214075,264925,2022,in compliance,98,36.6,61.8,36.4,60.4,984667.3,62799.3826,,333.6,,,,,,,4568.5,,,,,,,17525.9,66.15,15
0073-0-00,85 rio robles e,san jose,CA,95134,9707077,2003,multifamily housing,232705,288847,2022,in compliance,89,41.2,68.3,41.8,67.7,1150597,81415.43882,,432.4,,,,,,,1932.6,,,,,,,15562.9,53.88,27
0074-0-00,80 descanso dr,san jose,CA,95134,9707080,2002,multifamily housing,233943,289591,2022,in compliance,71,45.2,74.6,45.6,74.2,1273218,88711.7128,,471.2,,,,,,,2336.2,,,,,,,14012.2,48.39,25
0075-0-00,60 descanso dr,san jose,CA,95134,9707081,2002,multifamily housing,220943,264853,2022,in compliance,85,40.7,71.5,40.9,70.9,1241106,66023.4102,,350.7,,,,,,,4648,,,,,,,15131.3,57.13,18
0076-0-00,20 descanso dr,san jose,CA,95134,9707082,2003,multifamily housing,233200,289753,2022,in compliance,82,42.6,71.8,43,71.4,1277981,80858.7364,,429.5,,,,,,,6072.2,,,,,,,19018.8,65.64,11
0077-0-00,178 e tasman dr,san jose,CA,95134,9707084,2001,other,116042,112043,2022,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0078-0-00,135 rio robles e,san jose,CA,95134,9707087,2005,multifamily housing,440382,296986,2022,in compliance,76,42.4,73.7,42.3,72.3,1384129,78523.9312,,417.1,,,,,,,4130.8,,,,,,,18482.4,62.23,15
0078-0-01,185 estancia drive,san jose,CA,95134,9707087,2005,multifamily housing,440382,243007,2022,in compliance,68,45.1,76.4,45.3,75.6,1142170,71066.3045,,377.5,,,,,,,741.5,,,,,,,12802.7,52.68,25
0079-0-00,180 alicante dr,san jose,CA,95134,9707089,2006,multifamily housing,361052,106722,2022,in compliance,43,50.2,93.1,50.3,92.3,705855.6,29632.61963,,157.4,,,,,,,1821.9,,,,,,,6420.6,60.16,23
0079-0-01,130 descanso drive,san jose,CA,95134,9707089,2006,multifamily housing,361052,340673,2022,in compliance,82,43.9,76.7,43.9,75.7,1688523,92076.0782,,489.1,,,,,,,4872.7,,,,,,,18144.6,53.26,29
0080-0-00,3507 palmilla dr,san jose,CA,95134,9707094,2007,multifamily housing,437102,448311,2022,in compliance,57,44.9,77.4,45,76.4,2186136,127079.2412,,675,,,,,,,5320.5,,,,,,,20541.8,45.82,27
0080-0-01,3500 palmilla drive,san jose,CA,95134,9707094,2007,multifamily housing,437102,93578,2022,in compliance,1,71.1,121.2,73.4,122.3,710156.2,44412.05872,,235.9,,,,,,,,,,,,,,3944.1,42.15,29
0081-0-00,175 baypointe pkwy,san jose,CA,95134,9707096,2014,multifamily housing,172223,226849,2022,in compliance,84,39.8,68.7,40.2,68.4,883621.5,50906.5767,,270.4,,,,,,,,,,,,,,6325.4,31.38,65
0082-0-00,150-152 river oaks pkwy,san jose,CA,95134,9709019,1984,manufacturing/industrial plant,100024,100024,2022,pending revisions,,-6.2,-21.3,-5.8,-20.8,-246816.4,2596.5,,13.8,,222.5,,,,,1155,,,,,,,1377.6,13.77,
0083-0-00,3300 n 1st st,san jose,CA,95134,9709031,1999,other - technology/science,163550,177103,2022,in compliance,,121.6,262.7,124.1,265.2,4003309,83145.5,,441.6,,,,,,,,,,,,,,9603.3,54.22,
0084-0-00,3200 n 1st st,san jose,CA,95134,9709037,1997,other - technology/science,85017,85017,2022,in compliance,,64.6,143.5,64.9,140.1,1025090,20198.32202,,107.3,,,,,,,,,,,253.1,,1536.9,1790,21.05,
0085-0-00,101 innovation dr,san jose,CA,95134,9709045,1998,office,359360,106462,2022,in compliance,91,40.7,96.4,42.1,97.9,957287.5,12200.50036,,64.8,,285,,1634.7,,,,,,,,,,1919.7,18.03,
0085-0-01,131 innovation dr,san jose,CA,95134,9709045,1998,office,127890,127890,2022,in compliance,79,210.4,170,210.4,170,-1091262,306338.3341,,1627.1,,32.7,,1214.1,,,,,,,,,,1246.8,9.75,
0085-1-00,121 innovation dr,san jose,CA,95134,9709044,1998,office,128740,128740,2022,in compliance,96,42.7,107.1,43.8,108.3,1343275,10566.26659,,56.1,,51.9,,1088.4,,,,,,,,,,1140.3,8.86,
0086-0-00,197 innovation dr,san jose,CA,95134,9709046,2001,parking,249000,259714,2022,in compliance,,2.6,7.3,2.6,7.3,198103.7,,,0,,,,,,,,,,,,,,,,
0087-0-00,190 river oaks pkwy,san jose,CA,95134,9709049,1998,office,142200,141998,2022,in compliance,,406.5,757.8,406.5,757.8,7870536,308709.1682,,1639.7,,2689.3,,1439.2,,,,,,,,,,4128.5,29.07,
0088-0-00,3137-3151 zanker rd,san jose,CA,95134,9709050,1990,office,201500,201500,2022,in compliance,,0,0,0,0,0.2,,,0,,175.8,,4419.6,,,,,,,,,,4595.3,22.98,
0089-0-00,3100 n 1st st,san jose,CA,95134,9709052,1992,,96549,,2022,exempt,,,,,,,,,,,,,,,,,,,,,,,,,
0090-0-00,110 holger way,san jose,CA,95134,9714087,2010,office,124767,135167,2022,in compliance,1,201.6,544.8,202.1,545.3,7540346,15875.51687,,84.3,,,,,,,,,,,,,,5032.9,37.23,
0091-0-00,120 holger way,san jose,CA,95134,9714088,2010,office,218349,227663,2022,in compliance,74,56.1,127.9,57,128.9,2631781,40008.83431,,212.5,,,,,,,,,,,,,,998.6,4.39,
0092-0-00,130 holger way,san jose,CA,95134,9714089,2010,office,218349,236040,2022,in compliance,,94.7,229.3,95.7,230.3,5132367,50822.37922,,269.9,,,,,,,,,,,,,,3275.5,13.88,
0092-1-00,95 headquarters dr,san jose,CA,95134,9714096,2010,parking,125323,125323,2022,in compliance,,17,47.6,16.8,47.1,493906.2,,,0,,,,,,,1056.3,,,,,,,1056.6,10.54,
0093-0-00,75 headquarters dr,san jose,CA,95134,9714101,2010,hotel,116628,116628,2022,in compliance,92,51.7,106.1,50.9,103.7,995921.5,26250.78325,,139.4,,,,385.4,,,,,,,,,,2860.2,24.17,
0094-0-00,4180 n. 1st street,san jose,CA,95134,9714104,1976,restaurant,20329,24624,2022,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0095-0-00,95 holger way,san jose,CA,95134,9714107,2010,retail store,137954,137954,2022,in compliance,90,45.8,120.2,45.8,118.7,1630963,7543.999951,,40.1,,1571,,,,,,,,,,,,1571,11.39,
0096-0-00,111 holger way,san jose,CA,95134,9714108,2013,hotel,98905,18650,2022,in compliance,1,10158.4,10886.7,10158.4,10886.7,688304.8,1871051.339,,9938,,2839,,,,,802.7,,,,,,,3641.7,195.26,
0097-0-00,2670 seely ave bldg 11,san jose,CA,95134,9715028,1995,office,136602,141033,2022,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0098-0-00,600 epic way,san jose,CA,95134,9715035,2012,multifamily housing,231836,280512,2022,in compliance,89,34.5,70.5,34.5,70.5,1612553,41708.4304,,221.5,,,,,,,,,,,,,,10509.1,37.46,51
0099-0-00,640 epic way,san jose,CA,95134,9715036,2013,multifamily housing,240400,285844,2022,in compliance,95,31.5,65.2,31.5,65.2,1538940,37402.48498,,198.7,,,,,,,,,,,,,,8346.7,29.2,73
0100-0-00,680 epic way,san jose,CA,95134,9715037,2013,multifamily housing,188493,227424,2022,in compliance,98,28.5,58.2,28.6,58,1064892,28802.75998,,153,,,,,,,,,,,,,,5034.4,22.14,90
0101-0-00,3700 casa verde st,san jose,CA,95134,9721121,2013,multifamily housing,397083,480955,2022,in compliance,46,45.7,79.9,45.7,79.9,2576086,131689.2496,,699.5,,,,,,,,,,,,,,21788.9,45.3,
0102-0-00,3737 casa verde st,san jose,CA,95134,9721122,2015,multifamily housing,208696,303637,2022,in compliance,97,22.8,54.6,23.4,55.1,1122959,12941.083,,68.7,,,,,,,,,,,,,,19450.3,88.65,
0103-0-00,251 river oaks pkwy,san jose,CA,95134,9733033,1981,,88818,,2022,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0104-0-00,211 river oaks pkwy,san jose,CA,95134,9733034,1982,,75790,,2022,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0105-0-00,260 innovation dr,san jose,CA,95134,9733105,1986,office,103227,102821,2022,pending revisions,,,,,,,,,,,,,,,,,,,,,,,,,
0106-0-00,355 river oaks pkwy,san jose,CA,95134,9733111,1980,manufacturing/industrial plant,200723,194000,2022,in compliance,,145.9,387.3,144.8,382.6,7493539,25136.1,1813.7,133.5,1947.2,1075.1,,1537.8,,,,,,,0,,,2613,13.47,
0107-0-00,373 river oaks cir,san jose,CA,95134,9733112,1990,multifamily housing,185456,221925,2022,in compliance,80,39.1,66.2,39.6,66.8,919586.9,55071.0577,,292.5,,,,,,,,,,,,,,2585.6,11.85,100
0108-0-00,270 innovation dr,san jose,CA,95134,9733115,1986,office,103103,104303,2022,pending revisions,,,,,,,,,,,,,,,,,,,,,,,,,
0109-0-00,250 innovation drive,san jose,CA,95134,9733116,1986,parking,375461,163034,2022,pending revisions,,,,,,,,,,,,,,,,,,,,,,,,,
0110-0-00,280 innovation dr,san jose,CA,95134,9733118,1986,office,161811,162840,2022,pending revisions,,,,,,,,,,,,,,,,,,,,,,,,,
0111-0-00,310 crescent village cir,san jose,CA,95134,9733119,2012,multifamily housing,1659060,441502,2022,in compliance,36,42.5,72.4,43.1,72.2,1988218,122487.2262,,650.6,,,,,,,6006.8,,,,,,,20352,46.1,27
0112-0-00,3200 zanker rd,san jose,CA,95134,9733120,2006,multifamily housing,341510,451965,2022,in compliance,58,35.1,60.1,35.6,60,1707971,102747.9723,,545.7,,,,,,,5647.1,,,,,,,19369.8,42.86,27
0113-0-00,320 crescent village cir,san jose,CA,95134,9733121,2013,multifamily housing,310021,411873,2022,in compliance,42,43.5,70.9,44.1,70.8,1686441,124101.3685,,659.2,,,,,,,2351.9,,,,,,,14893.5,36.16,52
0114-0-00,330 crescent village cir,san jose,CA,95134,9733122,2013,multifamily housing,314129,389520,2022,in compliance,58,37.1,62.6,37.8,62.6,1490088,96560.08322,,512.9,,,,,,,3550,,,,,,,15273.6,39.21,42
0115-0-00,350 river oaks pkwy,san jose,CA,95134,9733123,2013,multifamily housing,290639,360392,2022,in compliance,37,46.5,76.2,47.6,76.7,1615581,116268.3576,,617.6,,,,,,,2688.2,,,,,,,14135,39.22,52
0116-0-00,385 river oaks pkwy,san jose,CA,95134,9733125,2015,multifamily housing,420283,521151,2022,in compliance,63,37.8,59.9,38.9,60.4,1707360,144361.1898,,766.8,,,,,,,4637.1,,,,,,,20192.5,38.75,43
0117-0-00,3401 iron point dr,san jose,CA,95134,9733126,2014,multifamily housing,251793,324610,2022,in compliance,100,28.3,58.2,28.7,58.8,1558159,40068.7595,,212.8,,,,,,,,,,,,,,10000,30.81,63
0118-0-00,1 vista montana,san jose,CA,95134,9752013,2014,multifamily housing,465563,525285,2022,in compliance,100,27.4,57,27.7,57.3,2479331,60834.2,600.1,323.1,923.2,,13807.3,,,,,,,,,,,13807.3,26.29,84
0120-0-00,4401-4461 renaissance dr,san jose,CA,95134,9752037,1998,multifamily housing,118509,118509,2022,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0121-0-00,4511-4571 renaissance dr,san jose,CA,95134,9752038,1998,multifamily housing,206932,138608,2022,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0122-0-00,99 vista montana,san jose,CA,95134,9752041,2016,multifamily housing,530457,661182,2022,in compliance,100,27.1,54,27.1,53.7,2794090,83622.6095,,444.2,,,,,,,,,,,,,,19647.8,29.72,75
0123-0-00,4001 n 1st st,san jose,CA,95134,9753007,1984,,75216,,2022,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
