SAN JOSE BUILDING ID,STREET,CITY,STATE,ZIP CODE,ASSESSOR PARCEL NUMBER,YEAR BUILT,PRIMARY PROPERTY TYPE,ASSESSOR GROSS FLOOR AREA (ft^2),REPORTED GROSS FLOOR AREA (ft^2),ANNUAL REPORTING YEAR,ANNUAL BENCHMARKING STATUS,BEYOND BENCHMARKING COMPLIANCE YEAR,BEYOND BENCHMARKING COMPLIANCE STATUS,ENERGY STAR SCORE,WEATHER NORMALIZED SITE ENERGY USE INTENSITY (kBTU/ft^2),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (kBTU/ft^2),SITE ENERGY USE INTENSITY (kBTU/ft^2),SOURCE ENERGY USE INTENSITY (kBTU/ft^2),TOTAL ELECTRICITY USE (kWh),TOTAL NATURAL GAS USE (therms),INDIRECT GREENHOUSE GAS EMISSIONS (metric tons of CO2e),DIRECT GREENHOUSE GAS EMISSIONS (metric tons of CO2e),TOTAL GREENHOUSE GAS EMISSIONS (metric tons of CO2e),MUNICIPALLY SUPPLIED WATER INDOOR USE (kgal),MUNICIPALLY SUPPLIED WATER MIXED USE (kgal),MUNICIPALLY SUPPLIED WATER OUTDOOR USE (kgal),RECYCLED WATER INDOOR USE (kgal),RECYCLED WATER MIXED USE (kgal),RECYCLED WATER OUTDOOR USE (kgal),WELL WATER INDOOR USE (kgal),WELL WATER MIXED USE (kgal),WELL WATER OUTDOOR USE (kgal),OTHER WATER INDOOR USE (kgal),OTHER WATER MIXED USE (kgal),OTHER WATER OUTDOOR USE (kgal),TOTAL WATER USE (kgal),WATER USE INTENSITY (gal/ft^2),US EPA WATER SCORE
0048-0-00,300 holger way,san jose,CA,95134,9703132,1999,office,99870,101194,2024,in compliance,2024,exempt,,0.5,1.5,0.5,1.5,16285.6,0,3.9,0,3.9,19.5,,,,,317.4,,,,,,,336.8,3.33,
0049-0-00,250 holger way,san jose,CA,95134,9703133,1999,office,76410,77209,2024,in compliance,2024,pending,41,70.2,114.8,73.2,118,531836.7,38400.8,128.7,204,332.7,376.5,,,,,377.5,,,,,,,753.9,9.76,
0055-0-00,251 brandon st,san jose,CA,95134,9706057,2015,multifamily housing,233014,289052,2024,in compliance,,,96,31.8,58.2,32.4,58.8,1202797,52561.7,291.1,279.2,570.3,8950.9,,8472,,,,,,,,,,17422.9,60.28,13
0057-0-00,3477 lily way,san jose,CA,95134,9706061,2014,multifamily housing,122007,153782,2024,in compliance,,,87,52.2,80.8,54.2,82.9,670537.5,60410.1,162.3,320.9,483.2,,4975,,,,,,,,,,,4975,32.35,65
0058-0-00,250 brandon st,san jose,CA,95134,9706062,2014,multifamily housing,182414,236048,2024,in compliance,2024,compliant,87,48.1,80.7,49.5,81.9,1181167,76602.2,285.9,406.9,692.7,,8695.9,,,,,,,,,,,8695.9,36.84,49
0059-0-00,55 river oaks pl,san jose,CA,95134,9706063,2015,multifamily housing,302570,415641,2024,in compliance,2024,pending,71,52.3,88.7,53.1,89.1,2322816,141319.3,562.2,750.6,1312.8,,8535.3,,,,814.3,,,,,,,9349.7,22.49,81
0060-0-00,52 skytop st,san jose,CA,95134-2186,9706066,2016,multifamily housing,261309,346621,2024,in compliance,,,95,41.9,67.8,43.2,69,1370994,102908.3,331.8,546.6,878.4,,10561.7,,,,,,,,,,,10561.7,30.47,62
0061-0-00,3473 n 1st st,san jose,CA,95134-1801,9706067,2015,multifamily housing,257196,319309,2024,in compliance,,,94,44.7,71.5,46.6,73.4,1309834,103950.8,317,552.1,869.2,,10075.1,,,,,,,,,,,10075.1,31.55,66
0062-0-00,191 baypointe pkwy,san jose,CA,95134,9707030,1986,college/university,45848,45800,2024,in compliance,2024,not submitted,,32.7,83.3,33.6,84.3,375476.7,2586,90.9,13.7,104.6,172.5,,136.1,,,,,,,,,,308.6,6.74,
0063-0-00,90 e tasman dr,san jose,CA,95134,9707038,1984,medical office,96154,96154,2024,in compliance,,,100,45.1,69.1,47.6,71.7,623053.2,24507.2,86.5,130.2,216.6,363.6,,,,,,,,,,,,363.6,3.78,
0064-0-00,3550 n 1st st,san jose,CA,95134,9707040,2000,other - technology/science,76690,76690,2024,in compliance,,,,12.9,36.2,12.9,36.2,290402.1,1.8,70.3,0,70.3,82.5,,1888.8,,,,,,,,,,1971.2,25.7,
0066-0-00,3590 n 1st st,san jose,CA,95134,9707061,1989,office,85006,84035,2024,in compliance,,,88,66.5,156.7,67.1,156.3,1207381,15204.7,469.3,80.8,550.1,2054.9,,1754.5,,,,,,,,,,3809.5,45.33,
0067-0-00,160 e tasman dr,san jose,CA,95134,9707065,1990,office,110000,109243,2024,in compliance,,,80,49,109.9,50.5,111.5,1069974,18608.2,259,98.8,357.8,259.1,,1609.6,,,,,,,,,,1868.7,17.11,
0068-0-00,91 e tasman dr,san jose,CA,95134,9707066,1985,office,83632,84049,2024,in compliance,,,84,24.7,69.1,24.7,69.1,608090.2,,147.2,0,147.2,,951.1,,,,,,,,,,,951.1,11.32,
0069-0-00,121 e tasman dr,san jose,CA,95134,9707072,2000,multifamily housing,164065,270689,2024,in compliance,2024,compliant,65,41.6,75.9,42.1,76.3,971342.2,42690.7,235.1,226.8,461.8,,6824.9,,,,,,,,,,,6824.9,37.86,59
0071-0-00,25 rio robles e,san jose,CA,95134,9707075,2003,multifamily housing,135806,168399,2024,in compliance,,,76,40,67.2,41,67.7,695914.5,45245.7,168.4,240.3,408.8,,5998.3,,,,1343.6,,,,,,,7341.9,43.6,40
0072-0-00,65 rio robles e,san jose,CA,95134,9707076,2003,multifamily housing,214075,264925,2024,in compliance,,,98,36.3,60.4,36.7,60.4,970221.5,64202.5,234.8,341,575.8,,12787.9,,,,2271.2,,,,,,,15059,56.84,26
0073-0-00,85 rio robles e,san jose,CA,95134,9707077,2003,multifamily housing,232705,288847,2024,in compliance,,,88,43.3,69.5,44.2,70.1,1142693,88778.4,276.6,471.5,748.1,,13852.1,,,,1450.6,,,,,,,15302.7,52.98,29
0074-0-00,80 descanso dr,san jose,CA,95134,9707080,2002,multifamily housing,233943,289591,2024,in compliance,,,78,43.5,71.6,44.5,72.2,1236667,86688.8,299.3,460.4,759.8,,11154.1,,,,2413.6,,,,,,,13567.8,46.85,28
0075-0-00,60 descanso dr,san jose,CA,95134,9707081,2002,multifamily housing,220943,264853,2024,in compliance,,,89,38.9,69.4,39.4,69.5,1248410,61754.9,302.2,328,630.2,,9676.7,,,,3582.5,,,,,,,13259.2,50.06,28
0076-0-00,20 descanso dr,san jose,CA,95134,9707082,2003,multifamily housing,233200,289753,2024,in compliance,2024,pending,82,43.8,72.6,44.9,73.3,1267277,86840.2,306.7,461.3,768,,12190.4,,,,5829.5,,,,,,,18019.8,62.19,14
0078-0-00,135 rio robles e,san jose,CA,95134,9707087,2005,multifamily housing,440382,296986,2024,in compliance,,,74,43.8,75.2,44.4,75.2,1423847,83203.5,344.6,441.9,786.5,,14159,,,,2834.9,,,,,,,16993.9,57.22,20
0078-0-01,185 estancia drive,san jose,CA,95134,9707087,2005,multifamily housing,440382,243007,2024,in compliance,,,63,47.5,79.5,48.2,79.6,1181209,76729.5,285.9,407.5,693.4,,12163.6,,,,1274.8,,,,,,,13438.4,55.3,22
0079-0-00,180 alicante dr,san jose,CA,95134,9707089,2006,multifamily housing,361052,106722,2024,in compliance,,,57,48,87.9,48.6,88,660567.7,29296.7,159.9,155.6,315.5,,4024.4,,,,1776.6,,,,,,,5801,54.36,31
0079-0-01,130 descanso drive,san jose,CA,95134,9707089,2006,multifamily housing,361052,340673,2024,in compliance,,,88,42.7,73.8,43.1,73.8,1625629,91490.4,393.5,485.9,879.4,,13190.5,,,,3782.2,,,,,,,16972.7,49.82,34
0080-0-00,3507 palmilla dr,san jose,CA,95134,9707094,2007,multifamily housing,437102,448311,2024,in compliance,,,69,42.4,73,43.2,73.4,2100914,122091.5,508.5,648.5,1157,,14357.6,,,,2993.3,,,,,,,17350.9,38.7,41
0080-0-01,3500 palmilla drive,san jose,CA,95134,9707094,2007,multifamily housing,437102,93578,2024,in compliance,,,1,69.7,117.2,72,119,679998.9,44181.8,164.6,234.7,399.3,,3692.5,,,,,,,,,,,3692.5,39.46,35
0081-0-00,175 baypointe pkwy,san jose,CA,95134,9707096,2014,multifamily housing,172223,226849,2024,in compliance,,,92,35.2,59,35.4,58.8,821212.1,52290.7,198.8,277.7,476.5,,9860.5,,,,,,,,,,,9860.5,43.47,27
0082-0-00,150-152 river oaks pkwy,san jose,CA,95134,9709019,1984,manufacturing/industrial plant,100024,100024,2024,in compliance,,,,7.4,10.6,7.4,10.6,47698.7,5741.6,11.5,30.5,42,154.1,,,,,1150.8,,,,,0,,1304.9,13.05,
0083-0-00,3300 n 1st st,san jose,CA,95134,9709031,1999,other - technology/science,163550,177103,2024,in compliance,,,,125.2,269,127.2,271.1,4080380,85966.7,987.6,456.6,1444.2,,3068.8,,,,,,,,,,,3068.8,17.33,
0084-0-00,3200 n 1st st,san jose,CA,95134,9709037,1997,other - technology/science,85017,85017,2024,in compliance,,,,54.8,116.5,58.2,120.1,840286.9,20767,203.4,110.3,313.7,,,,,,,,,,191.3,,678.5,869.7,10.23,
0085-0-00,101 innovation dr,san jose,CA,95134,9709045,1998,office,359360,106462,2024,in compliance,,,95,40.8,80.6,43,83,673889.2,22799.9,163.1,121.1,284.2,117.7,,1781.1,,,,,,,,,,1898.8,17.84,
0085-0-01,131 innovation dr,san jose,CA,95134,9709045,1998,office,127890,127890,2024,in compliance,,,91,197.7,134.6,197.7,134.6,-1563154,306195.3,-378.3,1626.4,1248,20,,1254,,,,,,,,,,1274,9.96,
0085-1-00,121 innovation dr,san jose,CA,95134,9709044,1998,office,128740,128740,2024,in compliance,,,62,87,218.9,88.5,220.4,2750070,20058.1,665.6,106.5,772.1,51.5,,2055.7,,,,,,,,,,2107.2,16.37,
0086-0-00,197 innovation dr,san jose,CA,95134,9709046,2001,parking,249000,259714,2024,in compliance,,,,3.1,8.6,3.1,8.5,232303.8,,56.2,0,56.2,,,,,,,,,,,,,,,
0087-0-00,190 river oaks pkwy,san jose,CA,95134,9709049,1998,office,142200,141998,2024,in compliance,,,,384.1,725,384.1,725,7651230,284364.8,1851.8,1510.4,3362.2,2583.7,,1608.4,,,,,,,,,,4192.1,29.52,
0088-0-00,3137-3151 zanker rd,san jose,CA,95134,9709050,1990,office,201500,201500,2024,in compliance,,,,3.3,3.5,3.3,3.5,0,6667.2,0,35.4,35.4,680.7,,,,,,,,,,,,680.7,3.38,
0090-0-00,110 holger way,san jose,CA,95134,9714087,2010,office,124767,135167,2024,in compliance,,,1,243.6,655,244.3,655.7,9036067,21867.8,2187,116.2,2303.1,,3586.9,,,1203.4,,,,,,,,4790.3,35.44,
0091-0-00,120 holger way,san jose,CA,95134,9714088,2010,office,218349,227663,2024,in compliance,,,43,72.1,167.8,73.5,169.2,3509277,47556.7,849.3,252.6,1101.9,,1576.9,,,0,,,,,,,,1576.9,6.93,
0092-0-00,130 holger way,san jose,CA,95134,9714089,2010,office,218349,236040,2024,in compliance,,,,73.3,149.5,74.2,149.1,2813396,79210.6,680.9,420.7,1101.7,,2361.3,,,2616,,,,,,,,4977.4,21.09,
0092-1-00,95 headquarters dr,san jose,CA,95134,9714096,2010,parking,125323,125323,2024,in compliance,,,,21.9,61.3,21.9,61.3,643527,,155.8,0,155.8,,0,,,,1559.3,,,,,,,1559.3,15.56,
0093-0-00,75 headquarters dr,san jose,CA,95134,9714101,2010,hotel,116628,116628,2024,in compliance,,,86,58.5,115.8,58,114.4,1044674,32016.4,252.8,170.1,422.9,,2443.5,306.9,,,,,,,,,,2750.5,23.58,
0094-0-00,4180 n. 1st street,san jose,CA,95134,9714104,1976,restaurant,20329,24624,2024,in compliance,,,,369.2,659.7,369.1,654.6,1101088,53321.8,249.3,283.2,532.5,0,,,,,,,,,,,,0,0,
0095-0-00,95 holger way,san jose,CA,95134,9714107,2010,retail store,137954,137954,2024,in compliance,,,87,50,127.5,50.2,126.6,1707818,10923,413.3,58,471.4,1999,,,,,,,,,,,,1999,14.49,
0096-0-00,111 holger way,san jose,CA,95134,9714108,2013,hotel,98905,18650,2024,in compliance,,,4,335.6,603.7,336.9,602.2,776167,36344.6,187.9,193,380.9,3741.3,,,,,746.5,,,,,,,4487.8,240.63,
0097-0-00,2670 seely ave bldg 11,san jose,CA,95134,9715028,1995,office,136602,141033,2024,in compliance,,,1,702.2,1966.2,702.2,1966.2,29025440,,7025,0,7025,,,,,,,,,,2157,,931.6,3088.7,21.9,
0098-0-00,600 epic way,san jose,CA,95134,9715035,2012,multifamily housing,231836,280512,2024,in compliance,,,94,33.9,67.3,33.9,67.3,1489260,44330,360.4,235.5,595.9,,698,,,,,,,,,,,698,2.49,100
0099-0-00,640 epic way,san jose,CA,95134,9715036,2013,multifamily housing,240400,285844,2024,in compliance,,,98,29.3,60.5,29.5,60.6,1419551,35919.2,343.6,190.8,534.4,,5626.9,,,,,,,,,,,5626.9,19.69,92
0100-0-00,680 epic way,san jose,CA,95134,9715037,2013,multifamily housing,188493,227424,2024,in compliance,,,96,32.6,64,32.9,64.3,1134067,36178,274.5,192.2,466.6,,8166.4,,,,,,,,,,,8166.4,35.91,63
0101-0-00,3700 casa verde st,san jose,CA,95134,9721121,2013,multifamily housing,397083,480955,2024,in compliance,,,45,47.8,83,48.2,82.8,2593180,143121.5,627.6,760.2,1387.8,,23195,,,,,,,,,,,23195,48.23,43
0102-0-00,3737 casa verde st,san jose,CA,95134,9721122,2015,multifamily housing,208696,303637,2024,in compliance,2024,not submitted,68,48.3,82.1,48.8,81.8,1124529,68651.7,272.2,364.6,636.8,,13865.2,,,,,,,,,,,13865.2,63.19,16
0105-0-00,260 innovation dr,san jose,CA,95134,9733105,1986,office,103227,102821,2024,in compliance,,,12,158.7,410.7,160.5,412.6,4203030,21615,1017.3,114.8,1132.1,,237.9,,,,,,,,,,,237.9,2.31,
0106-0-00,355 river oaks pkwy,san jose,CA,95134,9733111,1980,manufacturing/industrial plant,200723,194000,2024,in compliance,,,,158.9,412.3,158.6,409.8,7903363,38101,1912.8,202.4,2115.2,1278.5,,3658.4,,,,,,,0,,,4937,25.45,
0107-0-00,373 river oaks cir,san jose,CA,95134,9733112,1990,multifamily housing,185456,221925,2024,in compliance,2024,compliant,86,37.8,61.7,39.1,63.7,838673.1,58244.7,203,309.4,512.3,,9208.5,,,,,,,,,,,9208.5,41.49,73
0108-0-00,270 innovation dr,san jose,CA,95134,9733115,1986,office,103103,104303,2024,in compliance,,,8,152.6,354.7,153.2,353.8,3369735,44843,815.6,238.2,1053.8,,1783,,,,,,,,,,,1783,17.09,
0109-0-00,250 innovation drive,san jose,CA,95134,9733116,1986,parking,375461,163034,2024,in compliance,,,,120.8,310.4,122.4,312.1,5013050,28549,1213.3,151.6,1364.9,,2263.2,,,,,,,,,,,2263.2,13.88,
0110-0-00,280 innovation dr,san jose,CA,95134,9733118,1986,office,161811,162840,2024,in compliance,,,72,67,158.7,69.1,160.9,2409384,30361,583.1,161.3,744.4,,1484.5,,,,,,,,,,,1484.5,9.12,
0111-0-00,310 crescent village cir,san jose,CA,95134,9733119,2012,multifamily housing,1659060,441502,2024,in compliance,,,47,39.3,68.8,39.8,69,2006999,107412.7,485.8,570.5,1056.3,,14355.9,,,,4549.3,,,,,,,18905.2,42.82,33
0112-0-00,3200 zanker rd,san jose,CA,95134,9733120,2006,multifamily housing,341510,451965,2024,in compliance,,,53,37.5,63.2,38.6,63.9,1768596,113934.7,428.1,605.2,1033.2,,13732.7,,,,1825.2,,,,,,,15557.9,34.42,46
0113-0-00,320 crescent village cir,san jose,CA,95134,9733121,2013,multifamily housing,310021,411873,2024,in compliance,,,48,42.6,69.2,43.8,70.1,1669435,123236.8,404.1,654.6,1058.6,,12682,,,,1420.3,,,,,,,14102.3,34.24,56
0114-0-00,330 crescent village cir,san jose,CA,95134,9733122,2013,multifamily housing,314129,389520,2024,in compliance,2024,compliant,53,39.7,66.3,40.6,66.8,1579920,104137.4,382.4,553.1,935.5,,12323.3,,,,1573.8,,,,,,,13897.1,35.68,51
0115-0-00,350 river oaks pkwy,san jose,CA,95134,9733123,2013,multifamily housing,290639,360392,2024,in compliance,2024,pending,40,46.6,76,48.1,77.3,1614534,118407.7,390.8,628.9,1019.7,,10647.5,,,,1272.4,,,,,,,11919.8,33.07,66
0116-0-00,385 river oaks pkwy,san jose,CA,95134,9733125,2015,multifamily housing,420283,521151,2024,in compliance,,,63,39.4,61.4,40.5,62.1,1716087,152290.1,415.3,808.9,1224.2,,14897.5,,,,2086.8,,,,,,,16984.3,32.59,58
0117-0-00,3401 iron point dr,san jose,CA,95134,9733126,2014,multifamily housing,251793,324610,2024,in compliance,,,100,28.3,57.4,28.6,57.9,1518498,40936.9,367.5,217.4,585,,7592.7,,,,634,,,,,,,8226.7,25.34,77
0118-0-00,1 vista montana,san jose,CA,95134,9752013,2014,multifamily housing,465563,525285,2024,in compliance,2024,pending,100,26.1,53.2,26.3,53.4,2265194,60982.9,512.9,323.9,836.8,,11901.9,,,,,,,,,,,11901.9,22.66,90
0120-0-00,4401-4461 renaissance dr,san jose,CA,95134,9752037,1998,multifamily housing,118509,118509,2024,in compliance,,,98,31.5,52.9,31.8,53.2,527852.8,32698.8,127.8,173.7,301.4,,7347.5,,,,,,,,,,,7347.5,46.13,61
0121-0-00,4511-4571 renaissance dr,san jose,CA,95134,9752038,1998,multifamily housing,206932,138608,2024,in compliance,,,100,27.8,45.6,28.1,45.9,569025.3,38747.2,137.7,205.8,343.5,,8903.2,,,,,,,,,,,8903.2,43.02,70
