SAN JOSE BUILDING ID,STREET,CITY,STATE,ZIP CODE,ASSESSOR PARCEL NUMBER,YEAR BUILT,PRIMARY PROPERTY TYPE,ASSESSOR GROSS FLOOR AREA (ft^2),REPORTED GROSS FLOOR AREA (ft^2),ANNUAL REPORTING YEAR,ANNUAL BENCHMARKING STATUS,ENERGY STAR SCORE,WEATHER NORMALIZED SITE ENERGY USE INTENSITY (kBTU/ft^2),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (kBTU/ft^2),SITE ENERGY USE INTENSITY (kBTU/ft^2),SOURCE ENERGY USE INTENSITY (kBTU/ft^2),TOTAL ELECTRICITY USE (kWh),TOTAL NATURAL GAS USE (therms),INDIRECT GREENHOUSE GAS EMISSIONS (metric tons of CO2e),DIRECT GREENHOUSE GAS EMISSIONS (metric tons of CO2e),TOTAL GREENHOUSE GAS EMISSIONS (metric tons of CO2e),MUNICIPALLY SUPPLIED WATER INDOOR USE (kgal),MUNICIPALLY SUPPLIED WATER MIXED USE (kgal),MUNICIPALLY SUPPLIED WATER OUTDOOR USE (kgal),RECYCLED WATER INDOOR USE (kgal),RECYCLED WATER MIXED USE (kgal),RECYCLED WATER OUTDOOR USE (kgal),WELL WATER INDOOR USE (kgal),WELL WATER MIXED USE (kgal),WELL WATER OUTDOOR USE (kgal),OTHER WATER INDOOR USE (kgal),OTHER WATER MIXED USE (kgal),OTHER WATER OUTDOOR USE (kgal),TOTAL WATER USE (kgal),WATER USE INTENSITY (gal/ft^2),US EPA WATER SCORE
0014-0-00,2160 gold st,alviso,CA,95002,1534081,1999,office,127124,127124,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0016-0-00,2131 gold st,alviso,CA,95002,1534101,2001,hotel,44316,54439,2019,in compliance,93,31.8,66.5,31.3,65.3,295417,6982,66.8,37.1,103.9,6317,,,,,,,,,,,,6317,116.04,
0017-0-00,2100 gold st,alviso,CA,95002,1534120,1999,office,70755,71169,2019,in compliance,,,,,,,,,,,,,,,,,,,,,,,,,
0021-0-00,110 nortech pkwy,san jose,CA,95134,1539033,1984,office,50772,52040,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0022-0-00,4300 n 1st st,san jose,CA,95134,1539044,2001,office,188332,188000,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0023-0-00,4400 n 1st st,san jose,CA,95134,1539045,2001,office,188332,188000,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0025-0-00,4453 n 1st st,san jose,CA,95134,1539057,2018,office,184351,187660,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0026-0-00,4353 n 1st st,san jose,CA,95134,1539058,2016,office,184351,182717,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0027-0-00,5093 disk dr,san jose,CA,95134,1544021,1990,other,168011,200405,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0028-0-00,5087 disk dr,san jose,CA,95134,1544026,1990,refrigerated warehouse,395200,178712,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0029-0-00,5079 disk dr,san jose,CA,95134,1544026,2017,non-refrigerated warehouse,395200,259086,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0029-1-00,4550 n 1st st,san jose,CA,95134,1544027,2018,office,332000,83051,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0030-0-00,4500 n 1st st,san jose,CA,95134,1544028,2016,,83000,,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0030-1-00,656 america center ct,alviso,CA,95002,1545013,2019,hotel,166340,166340,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0031-0-00,510 america center court,san jose,CA,95002,1545048,2021,hotel,82360,92684,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0032-0-00,6001 america center dr,alviso,CA,95002,1545049,2009,office,212863,212863,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0033-0-00,6220 america center drive,san jose,CA,95002,1545051,2017,office,215834,220761,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0034-0-00,6280 america center dr,alviso,CA,95002,1545052,2017,office,481246,220761,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0035-0-00,6201 america center dr,alviso,CA,95002,1545053,2009,office,213800,209212,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0037-0-00,1900-1902 lakewood dr,san jose,CA,95132,9201016,1975,multifamily housing,140800,113629,2019,in compliance,59,52.5,83.4,52.9,83.8,,41752.57019,,221.8,,,,,,,,,,,,,,8852.4,77.91,26
0039-0-00,2155 morrill ave,san jose,CA,95132,9209010,1990,retail store,108268,108268,2019,in compliance,90,51,141.9,51,141.9,,574.9999892,,3.1,,,,,,,,,,,,,,2226,20.56,
0044-0-00,100 headquarters dr,san jose,CA,95134,9703127,1999,office,46070,46070,2019,in compliance,,,,,,,,,,,,,,,,,,,,,,,,,
0045-0-00,450 holger way,san jose,CA,95134,9703129,1999,other,93210,98432,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0046-0-00,400 holger way,san jose,CA,95134,9703130,2005,data center,76410,76410,2019,in compliance,,,,,,,,,0,,,,,,,,,,,,,,,,
0047-0-00,350 holger way,san jose,CA,95134,9703131,1999,office,96710,96502,2019,in compliance,,,,12.8,32,,,,,,,,,,,,,,,,,,,,
0048-0-00,300 holger way,san jose,CA,95134,9703132,1999,office,99870,101194,2019,in compliance,,,,,,,,,,,,,,,,,,,,,,,,,
0049-0-00,250 holger way,san jose,CA,95134,9703133,1999,office,76410,77209,2019,in compliance,,,,,,,,,,,,,,,,,,,,,,,,,
0050-0-00,200 holger way,san jose,CA,95134,9703134,2001,office,96640,96640,2019,in compliance,,,,,,,,,,,,,,,,,,,,,,,,,
0051-0-00,3103 n 1st st,san jose,CA,95134,9706047,1995,office,97912,94328,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0055-0-00,251 brandon st,san jose,CA,95134,9706057,2015,multifamily housing,233014,289052,2019,in compliance,70,43.7,78.8,44.3,79.5,,55838.8835,,296.6,,,,,,,,,,,,,,15639.5,71.15,19
0056-0-00,3101 n 1st st,san jose,CA,95134,9706060,1995,office,95030,94328,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0057-0-00,3477 lily way,san jose,CA,95134,9706061,2014,multifamily housing,122007,153782,2019,in compliance,46,59,90.5,59.2,90.3,,66253.551,,351.9,,,,,,,,,,,,,,5761.8,37.51,52
0058-0-00,250 brandon st,san jose,CA,95134,9706062,2014,multifamily housing,182414,236048,2019,in compliance,47,53.8,86.7,55.1,88.1,,89095.0462,,473.2,,,,,,,,,,,,,,12366,52.45,20
0059-0-00,55 river oaks pl,san jose,CA,95134,9706063,2015,multifamily housing,302570,415641,2019,in compliance,,53.1,88.3,54,89.2,,146942.9527,,780.5,,,,,,,,,,,,,,14778.3,35.59,
0060-0-00,52 skytop st,san jose,CA,95134-2186,9706066,2016,multifamily housing,261309,346621,2019,in compliance,,45.7,72.6,46.4,72.8,,112943.4209,,599.9,,,,,,,,,,,,,,11419.1,32.98,
0061-0-00,3473 n 1st st,san jose,CA,95134-1801,9706067,2015,multifamily housing,257196,319309,2019,in compliance,63,47.3,76,48.2,76.8,,106051.4962,,563.3,,,,,,,,,,,,,,12205.7,38.27,49
0063-0-00,90 e tasman dr,san jose,CA,95134,9707038,1984,medical office,96154,96154,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0064-0-00,3550 n 1st st,san jose,CA,95134,9707040,2000,other - technology/science,76690,76690,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0065-0-00,210 baypointe pkwy,san jose,CA,95134,9707046,1985,,67984,,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0066-0-00,3590 n 1st st,san jose,CA,95134,9707061,1989,office,85006,84035,2019,in compliance,83,82,174.8,81.9,173.7,,26654.37547,,141.6,,,,,,,,,,,,,,3354.6,39.92,
0067-0-00,160 e tasman dr,san jose,CA,95134,9707065,1990,office,110000,109243,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0068-0-00,91 e tasman dr,san jose,CA,95134,9707066,1985,office,83632,84049,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0069-0-00,121 e tasman dr,san jose,CA,95134,9707072,2000,multifamily housing,164065,270689,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0071-0-00,25 rio robles e,san jose,CA,95134,9707075,2003,multifamily housing,135806,168399,2019,in compliance,49,47.7,77.1,47.5,76.2,,54765.7985,,290.9,,,,,,,,,,,,,,8827,52.42,24
0072-0-00,65 rio robles e,san jose,CA,95134,9707076,2003,multifamily housing,214075,264925,2019,in compliance,79,46.3,73.8,46.3,73.2,,93015.1709,,494,,,,,,,,,,,,,,13070,45.25,42
0073-0-00,85 rio robles e,san jose,CA,95134,9707077,2003,multifamily housing,232705,288847,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0074-0-00,80 descanso dr,san jose,CA,95134,9707080,2002,multifamily housing,233943,289591,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0075-0-00,60 descanso dr,san jose,CA,95134,9707081,2002,multifamily housing,220943,264853,2019,in compliance,57,50,79.5,49.8,78.7,,100478.6191,,533.7,,,,,,,,,,,,,,13711.8,47.35,27
0076-0-00,20 descanso dr,san jose,CA,95134,9707082,2003,multifamily housing,233200,289753,2019,in compliance,69,48.7,77.3,48.7,77,,98275.1613,,522,,,,,,,,,,,,,,16015,55.27,22
0077-0-00,178 e tasman dr,san jose,CA,95134,9707084,2001,other,116042,112043,2019,in compliance,1,210.3,506.7,209.8,504.5,,53075.20281,,281.9,,,,,,,,,,,,,,1073.7,9.58,
0078-0-00,135 rio robles e,san jose,CA,95134,9707087,2005,multifamily housing,440382,296986,2019,in compliance,59,49.9,78.8,49.8,78.4,,84862.7,,450.7,,,,,,,,,,,,,,12210.5,50.25,29
0078-0-01,185 estancia drive,san jose,CA,95134,9707087,2005,multifamily housing,440382,243007,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0079-0-00,180 alicante dr,san jose,CA,95134,9707089,2006,multifamily housing,361052,106722,2019,in compliance,44,50,91.9,49.8,90.9,,29550.08983,,157,,,,,,,,,,,,,,8920.5,83.59,6
0079-0-01,130 descanso drive,san jose,CA,95134,9707089,2006,multifamily housing,361052,340673,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0080-0-00,3507 palmilla dr,san jose,CA,95134,9707094,2007,multifamily housing,437102,448311,2019,in compliance,57,45.2,75.9,44.9,74.9,,130528.8095,,693.3,,,,,,,,,,,,,,35742.7,79.73,2
0080-0-01,3500 palmilla drive,san jose,CA,95134,9707094,2007,multifamily housing,437102,93578,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0081-0-00,175 baypointe pkwy,san jose,CA,95134,9707096,2014,multifamily housing,172223,226849,2019,in compliance,72,43.7,73.6,43.7,73.3,,56353.232,,299.3,,,,,,,,,,,,,,12432.2,61.67,11
0082-0-00,150-152 river oaks pkwy,san jose,CA,95134,9709019,1984,manufacturing/industrial plant,100024,100024,2019,in compliance,,27.5,58.9,27.8,59.2,,10637.15742,,56.5,,,,,,,,,,,,,,2045.7,20.45,
0083-0-00,3300 n 1st st,san jose,CA,95134,9709031,1999,other - technology/science,163550,177103,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0084-0-00,3200 n 1st st,san jose,CA,95134,9709037,1997,other - technology/science,85017,85017,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0085-0-00,101 innovation dr,san jose,CA,95134,9709045,1998,office,359360,106462,2019,in compliance,82,57.4,134.6,58.3,135.6,,16857.87498,,89.5,,,,,,,,,,,,,,3560.9,33.45,
0085-0-01,131 innovation dr,san jose,CA,95134,9709045,1998,office,127890,127890,2019,in compliance,,277.4,341,277.4,341,,318435.4329,,1691.4,,,,,,,,,,,,,,2887.2,22.58,
0085-1-00,121 innovation dr,san jose,CA,95134,9709044,1998,office,128740,128740,2019,in compliance,,75.6,192.1,75.3,189.7,,15521.48345,,82.4,,,,,,,,,,,,,,2012.7,15.63,
0086-0-00,197 innovation dr,san jose,CA,95134,9709046,2001,parking,249000,259714,2019,in compliance,,3.5,9.8,3.5,9.8,,,,0,,,,,,,,,,,,,,,,
0087-0-00,190 river oaks pkwy,san jose,CA,95134,9709049,1998,office,142200,141998,2019,in compliance,,371.5,670.5,371.5,670.5,,299999.6802,,1593.4,,,,,,,,,,,,,,5723.5,40.31,
0088-0-00,3137-3151 zanker rd,san jose,CA,95134,9709050,1990,office,201500,201500,2019,in compliance,,,,,,,,,0,,,,,,,,,,,,,,,,
0089-0-00,3100 n 1st st,san jose,CA,95134,9709052,1992,,96549,,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0090-0-00,110 holger way,san jose,CA,95134,9714087,2010,office,124767,135167,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0091-0-00,120 holger way,san jose,CA,95134,9714088,2010,office,218349,227663,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0092-0-00,130 holger way,san jose,CA,95134,9714089,2010,office,218349,236040,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0092-1-00,95 headquarters dr,san jose,CA,95134,9714096,2010,parking,125323,125323,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0093-0-00,75 headquarters dr,san jose,CA,95134,9714101,2010,hotel,116628,116628,2019,in compliance,98,41.4,80.4,41.3,80,,40230.03438,,213.7,,,,,,,,,,,,,,3514.3,17.74,
0094-0-00,4180 n. 1st street,san jose,CA,95134,9714104,1976,restaurant,20329,24624,2019,in compliance,78,140.1,362.8,138.1,357.5,,8326.570056,,44.2,,,,,,,,,,,,,,2700.2,54,
0095-0-00,95 holger way,san jose,CA,95134,9714107,2010,retail store,137954,137954,2019,in compliance,85,50.2,129.7,50,129.6,,8320.000073,,44.2,,,,,,,,,,,,,,2695,19.54,
0096-0-00,111 holger way,san jose,CA,95134,9714108,2013,hotel,98905,18650,2019,in compliance,,,,,,,,,0,,,,,,,,,,,,,,,,
0097-0-00,2670 seely ave bldg 11,san jose,CA,95134,9715028,1995,office,136602,141033,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0098-0-00,600 epic way,san jose,CA,95134,9715035,2012,multifamily housing,231836,280512,2019,in compliance,73,40.2,78.9,40.2,78.9,,54132.22707,,287.5,,,,,,,,,,,,,,11160.6,39.79,46
0099-0-00,640 epic way,san jose,CA,95134,9715036,2013,multifamily housing,240400,285844,2019,in compliance,95,29.9,64.6,29.7,64,,31276.76003,,166.1,,,,,,,,,,,,,,11246.1,39.34,49
0100-0-00,680 epic way,san jose,CA,95134,9715037,2013,multifamily housing,188493,227424,2019,in compliance,98,30.2,58.9,30,58.3,,33554.54922,,178.2,,,,,,,,,,,,,,6688.2,29.41,77
0101-0-00,3700 casa verde st,san jose,CA,95134,9721121,2013,multifamily housing,397083,480955,2019,in compliance,26,51.9,90.7,51.8,90.1,,151111.6022,,802.6,,,,,,,,,,,,,,19375.6,40.29,62
0102-0-00,3737 casa verde st,san jose,CA,95134,9721122,2015,multifamily housing,208696,303637,2019,in compliance,60,48.7,84.2,48.6,83.6,,65662.1533,,348.8,,,,,,,,,,,,,,7512.8,34.24,67
0103-0-00,251 river oaks pkwy,san jose,CA,95134,9733033,1981,,88818,,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0104-0-00,211 river oaks pkwy,san jose,CA,95134,9733034,1982,,75790,,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0105-0-00,260 innovation dr,san jose,CA,95134,9733105,1986,office,103227,102821,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0106-0-00,355 river oaks pkwy,san jose,CA,95134,9733111,1980,manufacturing/industrial plant,200723,194000,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0107-0-00,373 river oaks cir,san jose,CA,95134,9733112,1990,multifamily housing,185456,221925,2019,in compliance,77,38.9,67.6,39,67.3,,52163.0976,,277.1,,,,,,,,,,,,,,12641.2,57.96,47
0108-0-00,270 innovation dr,san jose,CA,95134,9733115,1986,office,103103,104303,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0109-0-00,250 innovation drive,san jose,CA,95134,9733116,1986,parking,375461,163034,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0110-0-00,280 innovation dr,san jose,CA,95134,9733118,1986,office,161811,162840,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0111-0-00,310 crescent village cir,san jose,CA,95134,9733119,2012,multifamily housing,1659060,441502,2019,pending revisions,28,44.2,74.1,44.3,74.3,,125752.1143,,667.9,,,,,,,,,,,,,,20141.4,45.62,28
0112-0-00,3200 zanker rd,san jose,CA,95134,9733120,2006,multifamily housing,341510,451965,2019,in compliance,38,39.6,66.6,39.8,66.7,,115122.4203,,611.5,,,,,,,,,,,,,,19437.1,43.01,27
0113-0-00,320 crescent village cir,san jose,CA,95134,9733121,2013,multifamily housing,310021,411873,2019,in compliance,35,44.9,72.5,45.1,72.7,,125862.3718,,668.5,,,,,,,,,,,,,,15707.3,38.14,47
0114-0-00,330 crescent village cir,san jose,CA,95134,9733122,2013,multifamily housing,314129,389520,2019,in compliance,40,41.4,69.1,41.5,68.9,,104999.4938,,557.7,,,,,,,,,,,,,,13308,34.17,54
0115-0-00,350 river oaks pkwy,san jose,CA,95134,9733123,2013,multifamily housing,290639,360392,2019,in compliance,32,47.3,76.4,48.2,77.4,,118837.6098,,631.2,,,,,,,,,,,,,,14770.1,40.98,48
0116-0-00,385 river oaks pkwy,san jose,CA,95134,9733125,2015,multifamily housing,420283,521151,2019,in compliance,61,38.4,59.4,39,59.9,,146791.2403,,779.7,,,,,,,,,,,,,,15539,29.82,65
0117-0-00,3401 iron point dr,san jose,CA,95134,9733126,2014,multifamily housing,251793,324610,2019,in compliance,99,30.1,60.7,30,60.1,1554979,44380.2778,,235.7,,,,,,,,,,,,,,9788,30.15,64
0118-0-00,1 vista montana,san jose,CA,95134,9752013,2014,multifamily housing,465563,525285,2019,in compliance,100,27.9,56.4,28,56.5,,68693.6909,,364.9,,,,,,,,,,,,,,21129.2,38.37,54
0120-0-00,4401-4461 renaissance dr,san jose,CA,95134,9752037,1998,multifamily housing,118509,118509,2019,in compliance,94,34.4,57.5,34.2,56.8,,35572.91085,,188.9,,,,,,,,,,,,,,9165.5,57.54,42
0121-0-00,4511-4571 renaissance dr,san jose,CA,95134,9752038,1998,multifamily housing,206932,138608,2019,in compliance,99,29.1,48.2,29.1,47.8,,39793.591,,211.4,,,,,,,,,,,,,,12980.8,62.73,38
0122-0-00,99 vista montana,san jose,CA,95134,9752041,2016,multifamily housing,530457,661182,2019,in compliance,100,22.7,44.4,22.5,43.9,,87305.0547,,463.7,,,,,,,,,,,,,,20324.5,25.64,75
0123-0-00,4001 n 1st st,san jose,CA,95134,9753007,1984,,75216,,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0124-0-00,3939 n 1st st,san jose,CA,95134,9753008,1984,office,64336,64399,2019,in compliance,1,326.3,856.1,326.3,856.1,,21153.9495,,112.4,,,,,,,,,,,,,,1436.7,22.33,
0125-0-00,3901 n 1st st,san jose,CA,95134,9753009,2016,office,65188,65188,2019,in compliance,65,79.4,139.1,81.6,139.5,,33128.2,,176,,,,,,,,,,,,,,2518.5,38.63,
0126-0-00,3833 n 1st st,san jose,CA,95134,9753010,1980,office,80908,80908,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0127-0-00,125 w tasman dr,san jose,CA,95134,9753017,1999,,121126,,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0128-0-00,198 champion ct,san jose,CA,95134,9753019,2002,laboratory,111450,111450,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0129-0-00,195 champion ct,san jose,CA,95134,9753020,1986,laboratory,60370,60370,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0130-0-00,3745 n 1st st,san jose,CA,95134,9753024,1985,office,67582,68024,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0131-0-00,3725 n 1st st,san jose,CA,95134,9753025,2015,office,70656,223899.9,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0132-0-00,175 w tasman dr,san jose,CA,95134,9753028,1995,office,93230,95399,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0133-0-00,225 w tasman dr,san jose,CA,95134,9753032,1995,office,140210,137761,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0134-0-00,255 w tasman dr,san jose,CA,95134,9753033,1995,office,320053,181249,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0134-0-01,285 w tasman,san jose,CA,95134,9753033,1995,office,141429,141429,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0135-0-00,3655 n 1st st,san jose,CA,95134,9753034,2015,office,636145,636145,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0136-0-00,250 w tasman dr,san jose,CA,95134,9754015,2016,office,95550,93959,2019,in compliance,73,47.5,106.6,46,102.2,,14501.23362,,77,,,,,,,,,,,,,,1375.3,14.48,
0137-0-00,230 w tasman dr,san jose,CA,95134,9754016,1995,office,95484,95484,2019,in compliance,34,100.9,228.8,102.1,230,,30534.19225,,162.2,,,,,,,,,,,,,,2786.1,29.18,
0138-0-00,210 w tasman dr,san jose,CA,95134,9754017,1994,office,95939,95113,2019,in compliance,82,60.3,168.9,60.3,168.9,,0,,0,,,,,,,,,,,,,,5034.9,52.94,
0139-0-00,190 w tasman dr,san jose,CA,95134,9754018,1994,office,95948,97407,2019,in compliance,57,110.5,232.7,109.2,226.6,,44152.77189,,234.5,,,,,,,,,,,,,,2888.3,29.65,
0140-0-00,3553 n 1st st,san jose,CA,95134,9755012,1984,,86145,,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0141-0-00,3571 n 1st st,san jose,CA,95134,9755016,1985,,116459,,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0142-0-00,51 rio robles,san jose,CA,95134,9755017,1984,mixed use property,60566,60566,2019,in compliance,,30.9,62.8,31.1,63.1,,17786.03999,,94.5,,,,,,,,,,,,,,8095.9,62.85,
0143-0-00,77 rio robles,san jose,CA,95134,9755018,1986,office,68243,68243,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0144-0-00,125 rio robles,san jose,CA,95134,9755021,1997,other - technology/science,107530,104500,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0145-0-00,145 rio robles,san jose,CA,95134,9755022,1984,office,56895,57586,2019,in compliance,67,53.7,106.5,53.7,106.5,,14397.8336,,76.5,,,,,,,,,,,,,,1898.8,32.97,
0145-1-00,80 w tasman dr,san jose,CA,95134,9755024,1997,other - technology/science,104520,104520,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0146-0-00,10 w tasman dr,san jose,CA,95134,9755025,1997,,104520,,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0147-0-00,2655 seely ave bldg 10,san jose,CA,95134,9766008,2010,office,208000,204395,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0148-0-00,2655 seely ave bldg 9,san jose,CA,95134,9766009,2005,office,84710,83126,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0149-0-00,2655 seely ave bldg 8,san jose,CA,95134,9767005,2005,office,68139,68001,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0150-0-00,2655 seely ave bldg 5,san jose,CA,95134,9767007,1985,office,90031,89656,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0150-1-00,2655 seely ave bldg 6,san jose,CA,95134,9767007,1985,office,63593,63593,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0151-0-00,2655 seely ave bldg 7,san jose,CA,95134,9767008,1998,office,58314,54800,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0154-0-00,611-621 river oaks pkwy,san jose,CA,95134,9768003,1983,office,53510,53510,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0155-0-00,670 river oaks pkwy,san jose,CA,95134,9771004,1989,strip mall,95036,22382,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
